"MBC_URL","IMDB_URL","Film","Year","Body_Count"
"http://www.moviebodycounts.com/Scorpion_King.htm","http://www.imdb.com/title/tt0277296/","Scorpion King",2002,105
"http://www.moviebodycounts.com/Secret_of_NIMH.htm","http://www.imdb.com/title/tt0084649/","Secret of NIMH",1982,12
"http://www.moviebodycounts.com/Secret_Window.htm","http://www.imdb.com/title/tt0363988/","Secret Window",2004,4
"http://www.moviebodycounts.com/Serenity.htm","http://www.imdb.com/title/tt0379786/","Serenity",2005,74
"http://www.moviebodycounts.com/Severance.htm","http://www.imdb.com/title/tt0464196/","Severance",2006,28
"http://www.moviebodycounts.com/Shaft_2000.htm","http://www.imdb.com/title/tt0162650/","Shaft 2000",2000,22
"http://www.moviebodycounts.com/Shaun_of_the_Dead.htm","http://www.imdb.com/title/tt0365748/","Shaun of the Dead",2004,60
"http://www.moviebodycounts.com/Shawshank_Redemption.htm","http://www.imdb.com/title/tt0111161/","The Shawshank Redemption",1994,4
"http://www.moviebodycounts.com/Shoot_Em_Up.htm","http://www.imdb.com/title/tt0465602/","Shoot 'Em Up",2007,151
"http://www.moviebodycounts.com/Showdown_In_Little_Tokyo.htm","http://www.imdb.com/title/tt0102915/","Showdown In Little Tokyo",1991,48
"http://www.moviebodycounts.com/Signs.htm","http://www.imdb.com/title/tt0286106/","Signs",2002,6
"http://www.moviebodycounts.com/Silence_of_the_Lambs.htm","http://www.imdb.com/title/tt0102926","The Silence of the Lambs",1991,8
"http://www.moviebodycounts.com/Silent_Trigger.htm","http://www.imdb.com/title/tt0117653/","Silent Trigger",1996,35
"http://www.moviebodycounts.com/Sin_City.htm","http://www.imdb.com/title/tt0401792/","Sin City",2005,53
"http://www.moviebodycounts.com/Sleepy_Hollow.htm","http://www.imdb.com/title/tt0162661/","Sleepy Hollow",1999,25
"http://www.moviebodycounts.com/Slumdog_Millionaire.htm","http://www.imdb.com/title/tt1010048/","Slumdog Millionaire",2008,10
"http://www.moviebodycounts.com/Smokin_Aces.htm","http://www.imdb.com/title/tt0475394/","Smokin' Aces",2007,47
"http://www.moviebodycounts.com/Snakes_on_a_Plane.htm","http://www.imdb.com/title/tt0417148/","Snakes on a Plane",2006,120
"http://www.moviebodycounts.com/Snatch.htm","http://www.imdb.com/title/tt0208092/","Snatch",2000,26
"http://www.moviebodycounts.com/Spartan.htm","http://www.imdb.com/title/tt0360009/","Spartan",2004,15
"http://www.moviebodycounts.com/Speed.htm","http://www.imdb.com/title/tt0111257/","Speed",1994,7
"http://www.moviebodycounts.com/The_Spy_Who_Loved_Me.htm","http://www.imdb.com/title/tt0076752/","The Spy Who Loved Me",1977,73
"http://www.moviebodycounts.com/Stardust.htm","http://www.imdb.com/title/tt0486655/","Stardust",2007,22
"http://www.moviebodycounts.com/Star_Trek_Nemesis.htm","http://www.imdb.com/title/tt0253754/","Star Trek: Nemesis",2002,54
"http://www.moviebodycounts.com/Star_Wars_I.htm","http://www.imdb.com/title/tt0120915/","Star Wars I",1999,34
"http://www.moviebodycounts.com/Star_Wars_II.htm","http://www.imdb.com/title/tt0121765/","Star Wars II",2002,55
"http://www.moviebodycounts.com/Star_Wars_III.htm","http://www.imdb.com/title/tt0121766/","Star Wars III",2005,115
"http://www.moviebodycounts.com/Star_Wars_New_Hope.htm","http://www.imdb.com/title/tt0076759/","Star Wars IV",1977,75
"http://www.moviebodycounts.com/Star_Wars_Empire.htm","http://imdb.com/title/tt0080684/","Star Wars V",1980,30
"http://www.moviebodycounts.com/Star_Wars_VI_Jedi.htm","http://imdb.com/title/tt0086190/","Star Wars VI",1983,69
"http://www.moviebodycounts.com/Starship_Troopers.htm","http://imdb.com/title/tt0120201/","Starship Troopers",1997,512
"http://www.moviebodycounts.com/Riders.htm","http://imdb.com/title/tt0282552/","Riders",2002,6
"http://www.moviebodycounts.com/Stone_Cold.htm","http://www.imdb.com/title/tt0102984/","Stone Cold",1991,45
"http://www.moviebodycounts.com/Strange_Days.htm","http://us.imdb.com/title/tt0114558/","Strange Days",1995,12
"http://www.moviebodycounts.com/Strange_Wilderness.htm","http://www.imdb.com/title/tt0489282/","Strange Wilderness",2008,30
"http://www.moviebodycounts.com/Summer_of_Sam.htm","http://www.imdb.com/title/tt0162677/","Summer of Sam",1999,10
"http://www.moviebodycounts.com/Sunshine.htm","http://www.imdb.com/title/tt0448134/","Sunshine",2007,30
"http://www.moviebodycounts.com/Super_Mario_Bros.htm","http://www.imdb.com/title/tt0108255/","Super Mario Bros.",1993,8
"http://www.moviebodycounts.com/Superman_Returns.htm","http://imdb.com/title/tt0348150/","Superman Returns",2006,10
"http://www.moviebodycounts.com/Sweeney_Todd.htm","http://www.imdb.com/title/tt0408236/","Sweeney Todd: The Demon Barber of Fleet
Street",2007,12
